t0,t1
38.46410187003865,40.306152330038806
41.08332459004109,43.32748350004183
45.690730460046694,48.42614025004693
52.32710009005333,55.130136450053634
55.91024175005591,58.593556740057096
60.44042201006144,65.3907102900639
67.15105089006715,69.47563509006798
71.9067752600729,74.65485045007316
76.4044587900764,78.77233866007727
79.6932632000807,82.38371082008088
84.14325150008415,86.44807101008494
88.15665011008916,90.93005610008943
93.2065784000942,98.65994970009716
99.87311168010088,102.65405025010115
103.43515545010344,106.14893406010465
108.35942963010936,111.11297094010962
112.6927629201137,115.43237229011393
116.26667217011627,119.18766339011769
119.96486898011996,122.45097036012095
123.92587283012493,126.76250583012526
128.55307674012855,131.02447959012952
134.3922927501354,137.18006397013568
138.15874940013916,140.95368657013947
141.7887863701418,149.85869598014835
150.64390077015065,153.23749140015173
154.02269619015402,156.3851766001549
157.16888154015717,159.491865900158
163.75535615016474,166.56099225016507
168.6715978101697,171.52749555017002
172.2996016501723,174.68831277017318
175.43108847017544,178.12410249017663
179.00496437018,183.14030082018164
184.07469068018509,187.06700811018558
188.99129897019,191.73260817019025
192.51511323019253,195.1047042601936
195.8824098001959,198.47150088019697
199.24990635019924,202.21772622020072
202.999897980203,205.72390890020424
209.24077382021025,211.83843072021034
212.62050249021263,214.86992754021338
215.77078742021678,218.61112005021712
221.57084069022258,224.52559521022303
226.3076336402263,229.01521287022751
229.98739895023098,232.81609941023132
234.9040405702359,237.6014208302361
238.38382590023838,240.8898252902394
242.2903018702433,244.9738501802435
247.5902718202486,250.4107397702489
252.1868454602522,254.87292684025337
256.69012841025767,260.0059468202585
260.7874519802608,263.63805024026215
264.4154558102644,268.33514715026683
269.11535244026913,271.48933170027
272.2602379202723,274.63455048027316
276.43652024027745,279.7175421302782
280.5000471902805,286.8863918402854
288.65556489028864,291.02524458028955
291.8000504102918,294.0842719802926
295.7391564502967,298.518961800297
302.21937503030324,304.9820487603035
306.8692100003079,309.56855673030805
310.34536236031033,312.6897779103112
313.46358384031345,316.07953890031456
319.6190682203206,322.2805854003208
323.05729104032304,325.3998734403239
327.1857448103282,329.9031897303284
330.9053394803319,333.6308169303321
335.39549043033537,338.0667399603366
339.83198007033985,342.0936372303406
343.971699380345,346.72237431034523
347.7019263203487,350.35447773034883
353.2881676403543,356.0477083503545
358.35182789035935,361.17209586035966
363.1015862003641,365.8707926103644
366.65419758036666,369.1182011703676
370.6880941403717,378.1961932803767
383.38469102038437,386.30011614038483
387.1072187403871,389.5951199403881
390.4513176203915,393.3131147703918
394.08032136039407,396.3228137703948
397.0983195303971,399.8968230003984
400.7284231504007,405.2270232604037
406.9341358404079,409.9579167904085
411.07075547041205,414.0759382804126
414.85411044041484,417.14563128041567
418.33389575041934,421.10246889041963
422.95523358042294,425.468532240424
426.2529371104263,428.494229640427
429.2865337204293,431.74393797043024
433.970131970435,436.7041419004352
437.7503872404387,440.4388350604389
441.7868835504428,444.52072683044304
447.00319520044803,449.73993819044824
451.7666854704528,454.6943427004532
456.4866467604575,459.3989388604579
460.81671371046184,463.6911429304622
464.4950458504645,467.35234344046586
468.14904708046816,470.468765100469
471.2632689604713,473.63794815047214
474.5059779904745,476.8285623904753
478.7164568904797,481.9180533904804
484.0995518604851,486.9079543504854
488.5325751804895,491.45626614048996
492.25166991049224,494.91378702049343
495.7018581904957,497.9477169304964
499.81188048049984,502.46056560050096
503.2671682505033,511.9654150205105
513.902337950515,516.7785003305153
517.5822365905186,520.584919650519
522.3764904605224,525.1050009305236
526.3684912105274,529.2191894705277
530.07628707053,532.6149831905311
534.2351711305353,537.0695043605356
538.7986147405398,541.7735005805403
542.5543058105426,545.0247087605435
545.8074138005458,550.3625082605489
551.2650346405522,553.9553156105525
554.7380206505547,557.1931251305557
558.060921660558,560.3200124105588
561.1020175205612,563.413902990562
564.3481262005654,567.1003676405657
569.1647111605702,572.510593230571
574.2889320305743,576.6628113005752
577.4523156605775,579.8448264005783
580.6412300705806,583.1147327105816
583.9596315305839,586.4115363305849
589.0977843205901,591.8699237705904
593.5807359805946,596.3421431705948
598.1276479205982,600.521625180599
602.5171755806035,605.2226550306037
606.8474425106078,609.592351350608
611.8671738206128,614.5687536606131
615.3764562006154,617.6755429506162
620.9140023806219,623.6089495506221
624.4080529506244,626.8148622606253
627.6101660406276,629.9731797306284
631.7612508906318,634.433766960633
640.2500352506413,642.9771792006414
644.016458570645,646.7019733506452
648.063353840649,650.7103724706492
652.966230170654,655.5974837106542
657.3297271106584,659.9793788106584
663.999593390665,666.7159717506652
668.3826883706694,671.0990334006696
