pid,lab,subject,date,depth,theta,phi,ml_ccf_tip,ap_ccf_tip,dv_ccf_tip,selectable
18be19f9-6ca5-4fc8-9220-ba43c3e75905,angelakilab,NYU-45,7/19/2021,6457.172412,11.49045263,-12.10684061,3442.310864,8205.21775,6502.757196,TRUE
1a60a6e1-da99-4d4e-a734-39b1d4544fad,angelakilab,NYU-45,7/19/2021,3932.005596,12.41320706,-179.577694,4295.202737,7418.77021,4315.086136,FALSE
76f16631-cbf7-4883-9437-4e8d8c4f34a3,angelakilab,NYU-45,7/20/2021,4969.319848,9.237221675,15.42146596,8056.032721,11987.11886,6979.87866,FALSE
e7080659-8319-48a6-b6fd-2e8ce8eeec49,angelakilab,NYU-45,7/20/2021,4151.912189,12.10271746,-176.4559908,5868.845657,8271.18923,4234.628856,FALSE
7c11adc6-adbd-484f-8ae9-13946285e3f8,angelakilab,NYU-45,7/23/2021,5070.029645,9.273782975,14.3327606,8058.384453,11077.26238,7078.76212,TRUE
e4632651-5ba7-48a7-86db-5298b45a5bac,angelakilab,NYU-45,7/23/2021,4410.625952,10.92616543,-148.4647291,4962.54416,10212.74879,5580.671252,TRUE
98bde8a6-6b6a-4e53-96b1-9078c3974a97,angelakilab,NYU-46,6/22/2021,4158.521234,15.98103701,154.1594145,2955.440382,4699.035142,6647.806324,TRUE
79fbd14b-bfad-4b28-90a9-3019bf72336f,angelakilab,NYU-46,6/23/2021,3919.295964,13.68244546,140.0789253,2860.998626,6169.931618,5333.072764,TRUE
f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,angelakilab,NYU-46,6/24/2021,4288.588138,15.07129271,145.5309963,3244.342684,4631.114714,6441.073709,FALSE
7587e3bb-dd11-4853-b48b-feab0b56ae05,angelakilab,NYU-47,6/22/2021,5445.200138,14.08205995,25.52012092,3904.384236,11345.79495,6406.562327,FALSE
89606895-287e-4559-8536-9830b047af34,angelakilab,NYU-47,6/25/2021,4446.365448,17.84032033,19.91084452,6019.216083,12988.91151,6182.557662,FALSE
450cea3b-9289-4708-9df2-a2518bdc4b59,angelakilab,NYU-48,6/29/2021,4484.235986,9.626958246,171.01469,4940.708073,4442.121968,5546.08656,FALSE
afecbc7f-10e3-40af-b091-cca9e8df6108,angelakilab,NYU-48,6/29/2021,2995.895906,21.89668147,18.24563088,1063.901488,10049.8081,4304.765551,FALSE
9991277b-9e8e-4db8-b8a6-e2c0176ef9ad,angelakilab,NYU-48,7/1/2021,4247.250481,9.635003208,-164.1931619,5408.985823,10981.36335,5212.33864,FALSE
aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,angelakilab,NYU-48,7/2/2021,6278.491401,19.68687818,19.87913935,4210.938458,9694.211244,6336.499272,FALSE
5e84c8e7-236f-4a64-a944-dc4a17c64f1d,churchlandlab,CSHL045,2/24/2020,6203.17437,12.76559779,42.62445489,3891.448645,6578.205282,6624.845567,FALSE
8fbfa285-d721-4a1a-8c18-f36652c17909,churchlandlab,CSHL045,2/24/2020,3834.374984,7.684860815,180,3397.461035,7700,4449.936806,FALSE
53b58cc3-8d88-4257-aa63-48da088f2091,churchlandlab,CSHL045,2/25/2020,6773.254429,10.44356386,45.12853591,3426.327961,6642.647095,7236.048235,FALSE
00a824c0-e060-495f-9ebc-79c82fef4c67,churchlandlab,CSHL045,2/26/2020,3581.762524,12.64931637,158.796438,5121.713435,8679.593846,3719.828267,TRUE
0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,churchlandlab,CSHL045,2/27/2020,6078.03954,12.88897136,24.77278238,5493.981084,11893.10112,6949.898159,FALSE
e070023a-2a5d-4398-ad66-f9ed5d517ad1,churchlandlab,CSHL045,2/28/2020,5374.649732,10.37852078,24.36178853,6642.968225,11774.39829,6461.715492,FALSE
0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,churchlandlab,CSHL047,1/21/2020,4277.24716,15.4943722,153.5987683,4608.71347,8305.074903,4521.797873,FALSE
45c49ba2-a113-4446-9c6d-9b049c1f9f74,churchlandlab,CSHL047,1/22/2020,6767.91236,11.11865425,38.8601365,3083.718441,6918.869052,7140.878178,FALSE
f86e9571-63ff-4116-9c40-aa44d57d2da9,churchlandlab,CSHL049,1/8/2020,4381.272307,14.66322673,151.8957555,4453.29513,8122.45409,4663.576104,FALSE
fd555d39-b728-44aa-90d2-796b8bb58300,churchlandlab,CSHL049,1/8/2020,7051.607557,18.42337138,31.68970134,2778.703977,6020.705479,7565.192763,FALSE
531423f6-d36d-472b-8234-c8f7b8293f79,churchlandlab,CSHL049,1/9/2020,4399.801955,15.82752071,154.258897,4580.930108,7896.171907,4682.992699,FALSE
ae2b9f1b-ebe3-4b56-8957-31982186e6ec,churchlandlab,CSHL049,1/11/2020,3892.822923,18.43701213,136.8883079,5223.768838,5166.397085,4768.011756,FALSE
e55266c7-eb05-47bb-b263-1cc08dc3c00c,churchlandlab,CSHL051,2/5/2020,3899.164721,15.67241087,56.52140634,6968.968496,8103.555838,4129.20132,FALSE
