panel,xmin,ymax,xmax,ymin
A,0.05333333333333334,0.95,0.15043478260869567,0.5378947368421052
B,0.1892753623188406,0.95,0.29482041587901703,0.5378947368421052
C,0.31592942659105233,0.95,0.4214744801512288,0.5378947368421052
D,0.4425834908632641,0.95,0.5481285444234405,0.5378947368421052
E,0.5692375551354758,0.95,0.6747826086956523,0.5378947368421052
F,0.7136231884057972,0.95,0.9313414283489284,0.3089473684210525
G,0.05333333333333334,0.4463157894736841,0.6747826086956522,0.3089473684210525
H,0.05333333333333334,0.21736842105263143,0.4593939393939394,0.07999999999999985
I,0.5406060606060606,0.21736842105263143,0.9097520661157024,0.07999999999999985
